state,N,M,E,F,T,I,R,H,L,D,A,S
United States,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,0.0,0.0,0.0,0.10898399372491518,0.014958047533964347,0.0,0.0,0.0,0.0,0.0,0.0,0.0913021971128748
United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,0.014573727374488366,0.0,0.0,0.03521757054828323,0.03246924785275518,0.017031373821397078,0.0,0.0,0.017073664411911382,0.0,0.016714711823958672,0.08248155978749083
Pakistan,0.04575878186359961,0.08444989634169442,0.22698951041454352,0.31623445504988457,0.23539178009714967,0.23163566727363027,0.2682625159933085,0.1660373404148977,0.23700628467767815,0.17292523599377962,0.22846244185303155,0.16734410065105088
North Korea,0.19610143382643386,0.10915350918248967,0.49415717828870637,0.7451056693244823,0.34456949756363286,0.36373502048164086,0.3389525765603299,0.33325430404687845,0.4110174533918356,0.418489747295381,0.1976953485920352,0.36108844804928286
Israel,0.15630489254186242,0.0,0.10242752208381423,0.047290696362905504,0.0,0.0,0.041568825967024936,0.0,0.017696861909086592,0.0876989377357027,0.0,0.0
Switzerland,0.13627943653924657,0.303388751598338,0.11299730384474138,0.0,0.0,0.0,0.1054985694939291,0.0,0.0,0.0,0.010722670115838495,0.0
Belgium,0.1505587324627966,0.3082023427074242,0.11911303316531952,0.02408065107870816,0.1233473482120162,0.10296257117764895,0.11750526688618945,0.05470818090702234,0.0,0.012141312647740765,0.14728622319480822,0.0
Taiwan,0.0,0.0480329539980765,0.0,0.0,0.0,0.0,0.15825362711700552,0.05101180686013884,0.0041720731078496165,0.20335124831889406,0.0,0.0
